epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
7,7.3822,1.16045,4.57022,0.99861,0.012,1,0.01194,0.00982,0.5907,4.12644,0.77669,7.55541e-05,7.55541e-05,7.55541e-05
8,8.38479,0.80819,4.24097,1.04668,0.0122,1,0.01239,0.01018,0.59259,4.14168,0.7785,8.61658e-05,8.61658e-05,8.61658e-05
9,9.32704,0.6419,4.4331,0.87304,0.0122,1,0.01239,0.01018,0.59259,4.14168,0.7785,9.62117e-05,9.62117e-05,9.62117e-05
10,10.3578,0.58844,3.62201,0.82518,0.01163,1,0.01175,0.00966,0.56684,4.14781,0.77361,0.000105692,0.000105692,0.000105692
11,11.3202,0.59012,3.40597,0.74404,0.01163,1,0.01175,0.00966,0.56684,4.14781,0.77361,0.000114606,0.000114606,0.000114606
12,12.3895,0.59817,3.4831,0.74596,0.01103,1,0.01144,0.01029,0.53472,4.09733,0.7631,0.000122954,0.000122954,0.000122954
13,13.3329,0.78718,3.38458,0.91788,0.01103,1,0.01144,0.01029,0.53472,4.09733,0.7631,0.000130736,0.000130736,0.000130736
14,14.4973,0.71267,2.98711,0.8197,0.01124,1,0.01166,0.01049,0.5314,4.00583,0.7565,0.000137953,0.000137953,0.000137953
15,15.4756,0.70626,2.58699,0.85025,0.01124,1,0.01166,0.01049,0.5314,4.00583,0.7565,0.000144603,0.000144603,0.000144603
16,16.5533,0.93097,4.28622,0.75015,0.01132,1,0.01175,0.01005,0.50086,3.94325,0.75532,0.000150688,0.000150688,0.000150688
17,17.5345,0.88095,3.95865,0.80912,0.01132,1,0.01175,0.01005,0.50086,3.94325,0.75532,0.000156207,0.000156207,0.000156207
18,18.6432,0.76948,1.92308,0.85077,0.01124,1,0.01218,0.01042,0.48933,3.90808,0.75292,0.00016116,0.00016116,0.00016116
19,19.5753,0.84084,2.2635,0.92033,0.01124,1,0.01218,0.01042,0.48933,3.90808,0.75292,0.000165547,0.000165547,0.000165547
20,20.5975,1.17448,2.06389,0.88294,0.01107,1,0.01189,0.01017,0.48727,3.87329,0.75315,0.000169368,0.000169368,0.000169368
21,21.5625,0.75928,1.49012,0.81872,0.01107,1,0.01189,0.01017,0.48727,3.87329,0.75315,0.000172623,0.000172623,0.000172623
